index,lon,lat,alt,time
148,100.491905,13.721232,11.0,2018-07-24 07:36:13
149,100.491937,13.721247,11.0,2018-07-24 07:36:14
150,100.491961,13.721275,11.0,2018-07-24 07:36:15
151,100.491991,13.721277,11.0,2018-07-24 07:36:16
152,100.492022,13.72129,11.0,2018-07-24 07:36:17
153,100.492064,13.721299,11.1,2018-07-24 07:36:19
154,100.492093,13.721316,11.0,2018-07-24 07:36:20
155,100.492116,13.721337,11.0,2018-07-24 07:36:21
156,100.492139,13.721367,10.9,2018-07-24 07:36:22
157,100.492167,13.721406,10.9,2018-07-24 07:36:23
158,100.492196,13.721423,10.9,2018-07-24 07:36:24
159,100.492228,13.721427,10.8,2018-07-24 07:36:25
160,100.492259,13.721439,10.7,2018-07-24 07:36:26
161,100.492293,13.721445,10.5,2018-07-24 07:36:27
162,100.492352,13.721473,10.4,2018-07-24 07:36:29
163,100.492362,13.721504,10.7,2018-07-24 07:36:30
164,100.492403,13.721533,10.8,2018-07-24 07:36:33
165,100.49243,13.721551,11.1,2018-07-24 07:36:34
166,100.49247,13.721577,11.1,2018-07-24 07:36:36
167,100.4925,13.721595,11.4,2018-07-24 07:36:37
168,100.492543,13.721609,11.4,2018-07-24 07:36:38
169,100.492597,13.721618,11.9,2018-07-24 07:36:40
170,100.492626,13.721607,12.0,2018-07-24 07:36:42
171,100.492665,13.721617,12.3,2018-07-24 07:36:44
172,100.492707,13.721598,12.6,2018-07-24 07:36:46
173,100.492738,13.721599,12.5,2018-07-24 07:36:48
174,100.492759,13.721568,12.0,2018-07-24 07:36:49
175,100.492739,13.721542,12.1,2018-07-24 07:36:51
176,100.492733,13.721514,12.1,2018-07-24 07:36:52
177,100.492723,13.72147,11.9,2018-07-24 07:36:54
178,100.492708,13.721438,11.9,2018-07-24 07:36:56
179,100.492694,13.721396,12.0,2018-07-24 07:36:57
180,100.492673,13.721434,12.0,2018-07-24 07:37:02
181,100.492683,13.721397,12.1,2018-07-24 07:37:08
182,100.492711,13.721383,12.1,2018-07-24 07:37:11
183,100.49274,13.721383,12.0,2018-07-24 07:37:13
184,100.492769,13.721383,11.7,2018-07-24 07:37:16
185,100.492787,13.721409,11.7,2018-07-24 07:37:17
186,100.492807,13.72144,11.6,2018-07-24 07:37:18
187,100.492835,13.721491,11.9,2018-07-24 07:37:19
188,100.492857,13.721531,11.9,2018-07-24 07:37:21
189,100.492743,13.721156,10.8,2018-07-24 07:37:25
190,100.492745,13.721121,10.9,2018-07-24 07:37:28
191,100.492718,13.721095,11.0,2018-07-24 07:37:30
192,100.492718,13.721061,11.0,2018-07-24 07:37:32
193,100.492706,13.721033,11.0,2018-07-24 07:37:34
194,100.492687,13.721009,11.1,2018-07-24 07:37:37
195,100.492708,13.720967,11.0,2018-07-24 07:37:40
196,100.492728,13.720991,10.9,2018-07-24 07:37:42
197,100.492786,13.721012,10.6,2018-07-24 07:37:44
198,100.49285,13.721052,10.3,2018-07-24 07:37:45
199,100.492884,13.721071,10.2,2018-07-24 07:37:46
200,100.492924,13.72112,10.0,2018-07-24 07:37:47
201,100.492967,13.721145,8.5,2018-07-24 07:37:48
202,100.492982,13.721222,6.5,2018-07-24 07:37:50
203,100.493007,13.721251,6.4,2018-07-24 07:37:51
204,100.493011,13.72128,6.4,2018-07-24 07:37:54
205,100.493,13.721309,6.4,2018-07-24 07:37:55
206,100.49301,13.721349,6.3,2018-07-24 07:37:56
207,100.493049,13.72158,7.6,2018-07-24 07:37:59
208,100.49304,13.721642,8.2,2018-07-24 07:38:00
209,100.493067,13.721769,9.8,2018-07-24 07:38:01
210,100.493065,13.721961,12.5,2018-07-24 07:38:03
211,100.493055,13.722043,13.2,2018-07-24 07:38:04
212,100.493073,13.722175,13.9,2018-07-24 07:38:06
213,100.493095,13.72225,13.9,2018-07-24 07:38:08
214,100.493113,13.722281,13.8,2018-07-24 07:38:09
215,100.493088,13.722426,12.8,2018-07-24 07:38:12
216,100.493042,13.722381,13.1,2018-07-24 07:38:13
